,sigma,b,z
163,0.1,6.2,1.8246305698480894
164,0.1,6.300000000000001,1.8406293111603955
165,0.1,6.4,1.8563760932928373
166,0.1,6.5,1.8718787294101502
167,0.1,6.6000000000000005,1.887144674793725
168,0.1,6.7,1.9021810483705293
169,0.1,6.800000000000001,1.9169946526470922
170,0.1,6.9,1.9315919921883018
171,0.1,7.0,1.9459792907666553
172,0.1,7.1000000000000005,1.960162507295114
173,0.1,7.2,1.9741473506456555
174,0.1,7.300000000000001,1.9879392934457785
175,0.1,7.4,2.0015435849363508
176,0.1,7.5,2.014965262966458
177,0.1,7.6000000000000005,2.0282091651938043
178,0.1,7.7,2.041279939553
179,0.1,7.800000000000001,2.0541820540484257
180,0.1,7.9,2.0669198059232765
181,0.1,8.0,2.079497330251915
182,0.1,8.1,2.0919186079984735
183,0.1,8.200000000000001,2.1041874735810278
184,0.1,8.3,2.116307621977321
185,0.1,8.4,2.1282826154049306
186,0.1,8.5,2.1401158896061703
187,0.1,8.6,2.1518107597653846
188,0.1,8.700000000000001,2.163370426084221
189,0.1,8.8,2.1747979790382606
190,0.1,8.9,2.1860964043366686
191,0.1,9.0,2.197268587604734
192,0.1,9.1,2.2083173188077008
193,0.1,9.200000000000001,2.219245296432837
194,0.1,9.3,2.230055131445442
195,0.1,9.4,2.2407493510332794
196,0.1,9.5,2.2513304021528833
197,0.1,9.600000000000001,2.261800654890191
198,0.1,9.700000000000001,2.2721624056470344
199,0.1,9.8,2.2824178801642074
200,0.1,9.9,2.292569236391079
201,0.1,10.0,2.3026185672109944
202,0.2,0.0,1.0984463324794849
203,0.2,0.1,1.0984463324794849
204,0.2,0.2,1.0984463324794849
205,0.2,0.30000000000000004,1.0984463324794849
206,0.2,0.4,1.0984463324794849
207,0.2,0.5,1.0984463324794849
208,0.2,0.6000000000000001,1.0984463324794849
209,0.2,0.7000000000000001,1.0984463324794849
210,0.2,0.8,1.0984463324794849
211,0.2,0.9,1.0984463324794849
212,0.2,1.0,1.0984463324794849
213,0.2,1.1,1.0984463324794849
214,0.2,1.2000000000000002,1.0984463324794849
215,0.2,1.3,1.0984463324794849
216,0.2,1.4000000000000001,1.0984463324794849
217,0.2,1.5,1.0984463324794849
218,0.2,1.6,1.0984463324794849
219,0.2,1.7000000000000002,1.0984463324794849
220,0.2,1.8,1.0984463324794849
221,0.2,1.9000000000000001,1.0984463324794849
222,0.2,2.0,1.0984463324794849
